Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000010 
max_cycles : 1000000.000000 
log_frequency : 100000.000000 
sample_frequency : 10.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 4.000000 
Run Time : 4.391279 

DATA START
t                       |D                       |I                       |N                       |
6.0219999999999996e-03  |3.0108911579148629e-05  |1.2680899266259813e+01  |9.8731907062482287e+02  |
6.0229999999999997e-03  |3.0086941052340643e-05  |1.2671646012359126e+01  |9.8732832390069393e+02  |
6.0239999999999998e-03  |3.0064986558728017e-05  |1.2662399511106150e+01  |9.8733757042390141e+02  |
6.0250000000000000e-03  |3.0043048086610381e-05  |1.2653159757573079e+01  |9.8734681019937307e+02  |
6.0260000000000001e-03  |3.0021125624295908e-05  |1.2643926746835698e+01  |9.8735604323203290e+02  |
6.0269999999999994e-03  |2.9999219160101286e-05  |1.2634700473973391e+01  |9.8736526952680163e+02  |
6.0279999999999995e-03  |2.9977328682351746e-05  |1.2625480934069133e+01  |9.8737448908859642e+02  |
6.0289999999999996e-03  |2.9955454179381028e-05  |1.2616268122209483e+01  |9.8738370192233049e+02  |
6.0299999999999998e-03  |2.9933595639531384e-05  |1.2607062033484594e+01  |9.8739290803291374e+02  |
6.0309999999999999e-03  |2.9911753051153585e-05  |1.2597862662988190e+01  |9.8740210742525278e+02  |
6.0320000000000000e-03  |2.9889926402606897e-05  |1.2588670005817583e+01  |9.8741130010425013e+02  |
6.0329999999999993e-03  |2.9868115682259080e-05  |1.2579484057073662e+01  |9.8742048607480467e+02  |
6.0339999999999994e-03  |2.9846320878486385e-05  |1.2570304811860892e+01  |9.8742966534181232e+02  |
6.0349999999999996e-03  |2.9824541979673541e-05  |1.2561132265287306e+01  |9.8743883791016481e+02  |
6.0359999999999997e-03  |2.9802778974213757e-05  |1.2551966412464511e+01  |9.8744800378475043e+02  |
6.0369999999999998e-03  |2.9781031850508716e-05  |1.2542807248507678e+01  |9.8745716297045419e+02  |
6.0380000000000000e-03  |2.9759300596968548e-05  |1.2533654768535552e+01  |9.8746631547215770e+02  |
6.0390000000000001e-03  |2.9737585202011866e-05  |1.2524508967670426e+01  |9.8747546129473835e+02  |
6.0399999999999994e-03  |2.9715885654065720e-05  |1.2515369841038162e+01  |9.8748460044307012e+02  |
6.0409999999999995e-03  |2.9694201941565606e-05  |1.2506237383768179e+01  |9.8749373292202392e+02  |
6.0419999999999996e-03  |2.9672534052955457e-05  |1.2497111590993445e+01  |9.8750285873646669e+02  |
6.0429999999999998e-03  |2.9650881976687643e-05  |1.2487992457850485e+01  |9.8751197789126172e+02  |
6.0439999999999999e-03  |2.9629245701222965e-05  |1.2478879979479371e+01  |9.8752109039126901e+02  |
6.0450000000000000e-03  |2.9607625215030639e-05  |1.2469774151023721e+01  |9.8753019624134538e+02  |
6.0460000000000002e-03  |2.9586020506588294e-05  |1.2460674967630698e+01  |9.8753929544634309e+02  |
6.0469999999999994e-03  |2.9564431564381979e-05  |1.2451582424451006e+01  |9.8754838801111157e+02  |
6.0479999999999996e-03  |2.9542858376906131e-05  |1.2442496516638885e+01  |9.8755747394049706e+02  |
6.0489999999999997e-03  |2.9521300932663589e-05  |1.2433417239352121e+01  |9.8756655323934137e+02  |
6.0499999999999998e-03  |2.9499759220165584e-05  |1.2424344587752017e+01  |9.8757562591248325e+02  |
6.0510000000000000e-03  |2.9478233227931730e-05  |1.2415278557003425e+01  |9.8758469196475778e+02  |
6.0520000000000001e-03  |2.9456722944490019e-05  |1.2406219142274713e+01  |9.8759375140099689e+02  |
6.0529999999999994e-03  |2.9435228358376813e-05  |1.2397166338737785e+01  |9.8760280422602818e+02  |
6.0539999999999995e-03  |2.9413749458136841e-05  |1.2388120141568059e+01  |9.8761185044467675e+02  |
6.0549999999999996e-03  |2.9392286232323199e-05  |1.2379080545944474e+01  |9.8762089006176348e+02  |
6.0559999999999998e-03  |2.9370838669497322e-05  |1.2370047547049493e+01  |9.8762992308210585e+02  |
6.0569999999999999e-03  |2.9349406758228997e-05  |1.2361021140069095e+01  |9.8763894951051805e+02  |
6.0580000000000000e-03  |2.9327990487096366e-05  |1.2352001320192764e+01  |9.8764796935181062e+02  |
6.0590000000000001e-03  |2.9306589844685881e-05  |1.2342988082613505e+01  |9.8765698261079058e+02  |
6.0599999999999994e-03  |2.9285204819592352e-05  |1.2333981422527822e+01  |9.8766598929226132e+02  |
6.0609999999999995e-03  |2.9263835400418883e-05  |1.2324981335135730e+01  |9.8767498940102291e+02  |
6.0619999999999997e-03  |2.9242481575776919e-05  |1.2315987815640748e+01  |9.8768398294187159e+02  |
6.0629999999999998e-03  |2.9221143334286203e-05  |1.2307000859249886e+01  |9.8769296991960096e+02  |
6.0639999999999999e-03  |2.9199820664574785e-05  |1.2298020461173660e+01  |9.8770195033899972e+02  |
6.0650000000000001e-03  |2.9178513555279019e-05  |1.2289046616626083e+01  |9.8771092420485456e+02  |
6.0659999999999993e-03  |2.9157221995043542e-05  |1.2280079320824649e+01  |9.8771989152194737e+02  |
6.0669999999999995e-03  |2.9135945972521292e-05  |1.2271118568990355e+01  |9.8772885229505766e+02  |
6.0679999999999996e-03  |2.9114685476373471e-05  |1.2262164356347682e+01  |9.8773780652896085e+02  |
6.0689999999999997e-03  |2.9093440495269564e-05  |1.2253216678124591e+01  |9.8774675422842904e+02  |
6.0699999999999999e-03  |2.9072211017887326e-05  |1.2244275529552533e+01  |9.8775569539823050e+02  |
6.0710000000000000e-03  |2.9050997032912768e-05  |1.2235340905866426e+01  |9.8776463004313064e+02  |
6.0720000000000001e-03  |2.9029798529040169e-05  |1.2226412802304685e+01  |9.8777355816789088e+02  |
6.0729999999999994e-03  |2.9008615494972061e-05  |1.2217491214109183e+01  |9.8778247977726937e+02  |
6.0739999999999995e-03  |2.8987447919419188e-05  |1.2208576136525272e+01  |9.8779139487602095e+02  |
6.0749999999999997e-03  |2.8966295791100564e-05  |1.2199667564801773e+01  |9.8780030346889669e+02  |
6.0759999999999998e-03  |2.8945159098743435e-05  |1.2190765494190977e+01  |9.8780920556064416e+02  |
6.0769999999999999e-03  |2.8924037831083250e-05  |1.2181869919948628e+01  |9.8781810115600763e+02  |
6.0780000000000001e-03  |2.8902931976863710e-05  |1.2172980837333951e+01  |9.8782699025972818e+02  |
6.0789999999999993e-03  |2.8881841524836706e-05  |1.2164098241609615e+01  |9.8783587287654302e+02  |
6.0799999999999995e-03  |2.8860766463762346e-05  |1.2155222128041755e+01  |9.8784474901118574e+02  |
6.0809999999999996e-03  |2.8839706782408939e-05  |1.2146352491899952e+01  |9.8785361866838730e+02  |
6.0819999999999997e-03  |2.8818662469552991e-05  |1.2137489328457249e+01  |9.8786248185287445e+02  |
6.0829999999999999e-03  |2.8797633513979203e-05  |1.2128632632990133e+01  |9.8787133856937044e+02  |
6.0840000000000000e-03  |2.8776619904480453e-05  |1.2119782400778538e+01  |9.8788018882259564e+02  |
